CO2_1;CO2_2;CO2_medium;Temp_1;Temp_2;Temp_medium;Accuracy_1;Accuracy_2;Min_CO2_1;Min_CO2_2; time
1219.000;1147.000;1183.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;148.000;
1207.000;1137.000;1172.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;149.000;
1194.000;1124.000;1159.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;150.000;
1181.000;1118.000;1149.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;151.000;
1168.000;1108.000;1138.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;152.000;
1155.000;1099.000;1127.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;153.000;
1143.000;1089.000;1116.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;154.000;
1130.000;1080.000;1105.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;155.000;
1118.000;1070.000;1094.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;156.000;
1105.000;1059.000;1082.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;157.000;
1091.000;1049.000;1070.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;158.000;
1080.000;1039.000;1059.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;159.000;
1067.000;1028.000;1047.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;160.000;
1055.000;1018.000;1036.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;161.000;
1042.000;1011.000;1026.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;162.000;
1030.000;1002.000;1016.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;163.000;
1017.000;996.000;1006.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;164.000;
1005.000;992.000;998.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;165.000;
996.000;987.000;991.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;166.000;
991.000;982.000;986.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;167.000;
985.000;978.000;981.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;168.000;
979.000;974.000;976.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;169.000;
974.000;969.000;971.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;170.000;
968.000;965.000;966.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;171.000;
963.000;961.000;962.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;172.000;
957.000;956.000;956.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;173.000;
951.000;951.000;951.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;174.000;
946.000;947.000;946.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;175.000;
940.000;943.000;941.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;176.000;
934.000;938.000;936.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;177.000;
928.000;933.000;930.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;178.000;
923.000;930.000;926.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;179.000;
917.000;925.000;921.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;180.000;
911.000;921.000;916.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;181.000;
907.000;917.000;912.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;182.000;
901.000;912.000;906.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;183.000;
895.000;907.000;901.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;184.000;
890.000;903.000;896.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;185.000;
884.000;900.000;892.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;186.000;
878.000;896.000;887.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;187.000;
872.000;891.000;881.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;188.000;
866.000;887.000;876.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;189.000;
860.000;882.000;871.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;190.000;
854.000;877.000;865.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;191.000;
848.000;873.000;860.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;192.000;
842.000;868.000;855.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;193.000;
836.000;864.000;850.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;194.000;
831.000;859.000;845.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;195.000;
826.000;854.000;840.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;196.000;
820.000;851.000;835.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;197.000;
814.000;846.000;830.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;198.000;
809.000;841.000;825.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;199.000;
804.000;836.000;820.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;200.000;
799.000;831.000;815.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;201.000;
795.000;826.000;810.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;202.000;
790.000;821.000;805.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;203.000;
786.000;816.000;801.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;204.000;
781.000;812.000;796.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;205.000;
777.000;807.000;792.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;206.000;
773.000;804.000;788.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;207.000;
769.000;799.000;784.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;208.000;
765.000;794.000;779.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;209.000;
761.000;790.000;775.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;210.000;
757.000;784.000;770.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;211.000;
754.000;779.000;766.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;212.000;
750.000;774.000;762.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;213.000;
747.000;770.000;758.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;214.000;
744.000;765.000;754.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;215.000;
740.000;760.000;750.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;216.000;
737.000;755.000;746.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;217.000;
733.000;751.000;742.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;218.000;
730.000;746.000;738.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;219.000;
727.000;744.000;735.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;220.000;
724.000;740.000;732.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;221.000;
721.000;735.000;728.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;222.000;
718.000;731.000;724.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;223.000;
716.000;727.000;721.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;224.000;
713.000;723.000;718.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;225.000;
710.000;719.000;714.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;226.000;
707.000;716.000;711.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;227.000;
705.000;712.000;708.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;228.000;
702.000;708.000;705.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;229.000;
699.000;704.000;701.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;230.000;
697.000;700.000;698.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;231.000;
695.000;697.000;696.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;232.000;
692.000;693.000;692.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;233.000;
690.000;690.000;690.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;234.000;
688.000;686.000;687.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;235.000;
685.000;684.000;684.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;236.000;
683.000;681.000;682.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;237.000;
681.000;678.000;679.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;238.000;
679.000;675.000;677.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;239.000;
676.000;672.000;674.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;240.000;
674.000;669.000;671.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;241.000;
672.000;666.000;669.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;242.000;
